City Name,State,Latitude,Longitude,Elevation (m),Annual Rainfall (mm),Earthquake Frequency,Erosion Index,Mining Activity,Landslide Probability,Flood Probability,Temperature (°C)
Ludhiana,Punjab,11.916012,87.307252,1154,4891.35,4,9,Yes,0.362,0.019,10.3
Agra,Uttar Pradesh,32.174629,82.438515,1135,3737.28,4,9.9,No,0.498,0.358,43.5
Nashik,Maharashtra,22.120537,89.190176,2041,559.01,3,9.6,Yes,0.962,0.081,18.4
Faridabad,Haryana,14.67164,96.227307,518,2276.5,5,8.4,Yes,0.698,0.543,35.7
Meerut,Uttar Pradesh,15.817811,71.116326,1479,2380.78,2,8.4,Yes,0.579,0.542,16.5
Rajkot,Gujarat,27.342945,77.044421,1499,1533.91,5,0.6,Yes,0.248,0.378,39.5
Kalyan,Maharashtra,19.298862,90.991768,1034,729.56,2,2.1,Yes,0.92,0.792,20.7
Vasai-Virar,Maharashtra,24.174245,91.233775,729,3496.73,4,3.9,Yes,0.573,0.926,30.1
Varanasi,Uttar Pradesh,22.963502,78.607199,1458,1240.75,1,5.6,Yes,0.599,0.859,34.2
Srinagar,Jammu & Kashmir,19.16854,91.018312,2026,4538.72,2,0.9,No,0.523,0.034,24.3
Aurangabad,Maharashtra,28.5839,77.042578,762,892.36,1,6.7,No,0.828,0.652,18
Dhanbad,Jharkhand,34.703772,72.730373,454,4893.85,3,1.6,Yes,0.349,0.764,23.3
Mumbai,Maharashtra,15.16041,78.064526,1742,577.54,1,6.2,Yes,0.446,0.883,27.7
Delhi,Delhi,21.209907,95.833811,478,1847.95,2,4.6,No,0.926,0.874,28.1
Bangalore,Karnataka,30.323871,88.347478,1872,868.94,1,6,Yes,0.484,0.782,37.8
Hyderabad,Telangana,14.534863,70.817248,2040,4925.06,1,9,No,0.763,0.19,44.2
Ahmedabad,Gujarat,13.414547,83.96898,1887,2038.7,1,2.1,Yes,0.969,0.023,19.7
Chennai,Tamil Nadu,26.472223,76.118213,2509,1783.08,1,2.7,No,0.774,0.885,43.9
Kolkata,West Bengal,24.653003,85.525754,225,3193.05,1,5.1,No,0.695,0.754,32.8
Pune,Maharashtra,33.9214,90.905118,2102,1254.53,2,9,No,0.786,0.115,20.6
Jaipur,Rajasthan,29.539401,94.324823,2367,4931.62,5,8.7,Yes,0.141,0.931,21.2
Surat,Gujarat,19.002696,86.7288,2297,4636.3,4,8.5,No,0.229,0.622,30.7
Lucknow,Uttar Pradesh,23.963584,95.848577,200,2338.8,5,0.7,No,0.449,0.687,25.9
Kanpur,Uttar Pradesh,26.797014,83.526399,1352,3601.71,3,8.4,Yes,0.557,0.219,28.4
Nagpur,Maharashtra,8.865282,69.196167,1225,1965.36,1,8.3,No,0.61,0.569,16.1
Visakhapatnam,Andhra Pradesh,14.050716,71.954379,1091,4616.07,2,8.2,No,0.023,0.982,17.1
Bhopal,Madhya Pradesh,24.868171,84.224504,1992,2842.75,1,3.4,Yes,0.725,0.092,14.1
Patna,Bihar,34.576973,84.317231,1840,2489.53,1,9,Yes,0.93,0.692,29.5
Vadodara,Gujarat,12.753222,86.594163,1035,2309.78,3,8.6,Yes,0.058,0.883,39.9
Ghaziabad,Uttar Pradesh,24.732718,70.285662,1801,3581.76,4,1.1,No,0.304,0.946,13.5
Ludhiana,Punjab,25.805932,74.277208,914,4401.03,3,5.4,Yes,0.118,0.351,31.2
Agra,Uttar Pradesh,8.565353,84.255855,1954,2980.34,3,7,No,0.78,0.751,26.8
Nashik,Maharashtra,17.053183,93.375025,1805,3734.67,1,3.7,No,0.725,0.367,22.2
Faridabad,Haryana,24.964313,96.890179,895,664.38,1,0.8,No,0.869,0.505,13.5
Meerut,Uttar Pradesh,12.390549,77.939904,1773,3493,3,9.8,No,0.052,0.685,18.7
Rajkot,Gujarat,24.64591,80.40621,219,2000.59,4,2.4,Yes,0.232,0.411,40.8
Kalyan,Maharashtra,32.847464,68.256212,521,1313.14,1,3.2,Yes,0.908,0.195,30.9
Vasai-Virar,Maharashtra,22.223925,93.928154,2675,4078.49,3,4.4,Yes,0.748,0.286,27.3
Varanasi,Uttar Pradesh,29.445671,82.606049,677,3834.56,5,3.4,No,0.829,0.737,42.9
Srinagar,Jammu & Kashmir,18.610363,71.478028,257,1188.82,2,6,No,0.257,0.704,13.1
Aurangabad,Maharashtra,31.889756,69.676415,2689,2881.76,1,9.1,No,0.323,0.069,10.6
Dhanbad,Jharkhand,34.000127,82.036282,828,3168.65,3,7.7,Yes,0.519,0.256,37.9
Mumbai,Maharashtra,13.45424,93.817163,2242,3141.07,1,5.2,Yes,0.449,0.727,35.5
Delhi,Delhi,35.580582,90.842018,506,4147.07,2,2.3,Yes,0.951,0.127,16.9
Bangalore,Karnataka,27.556992,90.624828,725,3916.65,3,8.9,Yes,0.054,0.737,44.2
Hyderabad,Telangana,24.419494,76.339723,624,2560.98,3,0.7,No,0.136,0.406,26.7
Ahmedabad,Gujarat,10.640812,76.023842,424,2232.38,2,3.9,No,0.566,0.931,18.7
Chennai,Tamil Nadu,29.703746,95.156315,953,4820.68,4,5.4,Yes,0.618,0,15.8
Kolkata,West Bengal,10.049472,88.804289,2246,3629.74,2,4.7,No,0.069,0.974,35.2
Pune,Maharashtra,10.734255,84.038784,255,4030.29,2,2.5,Yes,0.563,0.848,35.8
Jaipur,Rajasthan,12.34835,69.334389,914,4207.87,4,7.7,No,0.581,0.938,38.4
Surat,Gujarat,14.913551,83.056042,1337,2308.18,3,3.4,Yes,0.87,0.193,21.3
Lucknow,Uttar Pradesh,34.811799,79.859826,231,1954.49,3,5.5,Yes,0.722,0.967,17.6
Kanpur,Uttar Pradesh,23.924494,83.495431,227,3380.88,2,7.9,Yes,0.989,0.159,34.3
Nagpur,Maharashtra,10.035956,74.370944,474,2983.55,4,3.6,No,0.788,0.275,14.9
Visakhapatnam,Andhra Pradesh,27.500161,91.571933,2754,3173.49,1,6.2,No,0.994,0.841,26.2
Bhopal,Madhya Pradesh,34.127089,79.322868,925,3095.81,1,6.8,No,0.337,0.151,23.7
Patna,Bihar,28.222995,82.638566,2483,1391.91,4,0.1,Yes,0.879,0.752,26.9
Vadodara,Gujarat,8.368575,90.839223,581,2281.51,2,8.5,No,0.169,0.047,26.5
Ghaziabad,Uttar Pradesh,29.312695,68.845579,95,2390.05,5,5.6,No,0.2,0.138,11
Ludhiana,Punjab,26.443372,96.848433,2800,1559.14,2,4.2,No,0.308,0.906,32.6
Agra,Uttar Pradesh,29.462208,85.594668,2912,3419.18,2,6.6,No,0.791,0.41,22.8
Nashik,Maharashtra,22.982717,70.224119,2492,2078.92,4,4.4,No,0.094,0.094,38.2
Faridabad,Haryana,10.716647,90.15541,2190,1273.47,4,2.4,No,0.682,0.971,23.5
Meerut,Uttar Pradesh,34.711799,75.521411,1862,3418.72,3,7.6,No,0.303,0.459,19
Rajkot,Gujarat,12.598291,94.363741,2823,3863.02,2,0.6,No,0.89,0.741,39.8
Kalyan,Maharashtra,19.380634,73.374351,530,1336.72,1,4.7,No,0.514,0.604,16.1
Vasai-Virar,Maharashtra,17.739684,72.543131,1863,1849.78,4,4.7,No,0.553,0.3,25.8
Varanasi,Uttar Pradesh,12.623621,93.161102,286,1171.32,2,5.8,No,0.42,0.155,26.7
Srinagar,Jammu & Kashmir,16.581245,80.094412,288,4714.83,2,8.6,Yes,0.062,0.235,17.5
Aurangabad,Maharashtra,10.016376,79.253646,364,1573.1,1,6.6,No,0.74,0.043,43.5
Dhanbad,Jharkhand,28.19079,73.140815,1341,4009.1,2,5.6,No,0.083,0.496,32.7
Mumbai,Maharashtra,12.866642,75.672028,174,1313.3,2,9.5,Yes,0.803,0.759,10.2
Delhi,Delhi,22.824064,73.55421,1255,4546.21,1,4.6,Yes,0.625,0.255,25.5
Bangalore,Karnataka,17.651486,95.508957,435,3284.7,2,6,Yes,0.331,0.969,10.3
Hyderabad,Telangana,17.100955,74.125846,2417,3495.49,5,4.6,Yes,0.755,0.68,27.4
Ahmedabad,Gujarat,31.499193,89.750111,2503,2328.7,5,7.9,Yes,0.606,0.498,42.3
Chennai,Tamil Nadu,23.982915,85.492179,5,2422.62,3,2.4,Yes,0.467,0.492,24.4
Kolkata,West Bengal,20.431694,86.764091,2887,901.61,1,3.1,Yes,0.428,0.887,17.1
Pune,Maharashtra,19.620036,75.224452,2993,1182.13,3,4.5,No,0.743,0.515,38.6
Jaipur,Rajasthan,22.802795,81.383127,2123,2694.45,4,0.6,Yes,0.245,0.184,10.9
Surat,Gujarat,26.88119,96.893191,2922,4341.78,3,1.7,Yes,0.565,0.91,24
Lucknow,Uttar Pradesh,27.793152,81.623016,273,3002.91,2,4.8,No,0.83,0.175,32.7
Kanpur,Uttar Pradesh,11.403456,79.393567,2155,1631.91,5,8.8,No,0.76,0.418,26
Nagpur,Maharashtra,12.798216,78.341089,1870,3982.85,2,7.4,No,0.174,0.881,29.3
Visakhapatnam,Andhra Pradesh,26.922401,72.820977,1876,4353.15,4,7.4,No,0.119,0.82,40.7
Bhopal,Madhya Pradesh,33.1787,88.967815,1416,3433.44,3,7.6,Yes,0.848,0.864,36.7
Patna,Bihar,36.690752,91.702195,1069,4717.05,4,9.2,Yes,0.207,0.083,42
Vadodara,Gujarat,34.003515,89.280284,1780,2210.53,5,3.6,No,0.342,0.682,39.4
Ghaziabad,Uttar Pradesh,19.28309,78.994237,1521,3354.61,2,8.4,No,0.784,0.924,12
Ludhiana,Punjab,11.734376,70.592951,1795,4448.81,5,3.6,Yes,0.461,0.175,44.7
Agra,Uttar Pradesh,33.7585,88.590052,755,3053.78,1,3,Yes,0.062,0.133,12.1
Nashik,Maharashtra,30.259526,71.62058,2552,1567.11,5,2.7,Yes,0.775,0.014,20.6
Faridabad,Haryana,13.833921,84.713022,2125,3785.48,5,9.9,No,0.199,0.143,19.7
Meerut,Uttar Pradesh,20.853312,85.066892,2542,1600.14,3,9.4,No,0.752,0.675,41.7
Rajkot,Gujarat,14.449588,71.549822,1877,1389.79,3,0.4,No,0.3,0.551,15.2
Kalyan,Maharashtra,22.676073,90.800942,221,3369.71,1,6.7,Yes,0.206,0.16,33.5
Vasai-Virar,Maharashtra,13.363819,88.690899,2589,628.76,1,5.8,Yes,0.897,0.677,36.4
Varanasi,Uttar Pradesh,30.598,90.715874,1533,3895.63,1,3.3,No,0.969,0.617,33.3
Srinagar,Jammu & Kashmir,23.292251,74.923788,1641,3681.21,4,3.3,No,0.017,0.73,27.3
Aurangabad,Maharashtra,27.224406,78.806541,2999,724.94,3,4.8,Yes,0.172,0.846,43.3
Dhanbad,Jharkhand,34.181535,94.288616,1942,585.41,1,3.2,No,0.651,0.223,13
Mumbai,Maharashtra,33.516903,82.783586,1731,2727.62,1,3.1,Yes,0.797,0.097,26
Delhi,Delhi,28.592979,84.884137,15,3534.63,5,3,No,0.907,0.591,40.7
Bangalore,Karnataka,20.090026,87.328225,1470,1012.54,5,9.6,No,0.968,0.061,26.5
Hyderabad,Telangana,11.192764,77.052709,2105,3516.03,3,7.8,No,0.596,0.699,38.1
Ahmedabad,Gujarat,18.248287,77.161514,852,2071.9,3,6.1,No,0.353,0.885,22.2
Chennai,Tamil Nadu,9.242714,80.941533,533,2650.42,1,3.8,No,0.233,0.152,18.5
Kolkata,West Bengal,32.180316,68.476931,2926,1967.73,3,3.7,Yes,0.111,0.472,38.5
Pune,Maharashtra,17.390808,96.546557,1550,735.94,3,9.2,Yes,0.548,0.157,28.9
Jaipur,Rajasthan,8.481342,91.617256,1331,3372.3,1,7.3,Yes,0.617,0.135,33.6
Surat,Gujarat,27.542073,76.039843,1708,1886.35,5,0.5,No,0.519,0.333,29.8
Lucknow,Uttar Pradesh,26.937232,72.742638,927,1209.5,2,4.2,Yes,0.177,0.346,26.8
Kanpur,Uttar Pradesh,18.766739,86.188552,713,4153.68,2,2.4,Yes,0.694,0.749,23.5
Nagpur,Maharashtra,8.833643,83.919833,2034,3969.9,2,5.4,Yes,0.867,0.054,27.3
Visakhapatnam,Andhra Pradesh,36.969106,93.598576,2743,1646.99,4,9.9,No,0.407,0.217,13.1
Bhopal,Madhya Pradesh,10.343722,84.079864,2180,2360.16,4,6.2,No,0.938,0.841,33.1
Patna,Bihar,18.964811,76.687667,2006,4395.62,5,4.4,Yes,0.23,0.201,21.4
Vadodara,Gujarat,21.666469,89.140366,939,1943.75,2,5.8,Yes,0.157,0.549,26.5
Ghaziabad,Uttar Pradesh,24.91738,72.682773,1531,3156.56,2,5.3,Yes,0.58,0.943,30.1
Ludhiana,Punjab,20.422963,89.8811,777,2495.37,4,8.1,No,0.577,0.599,38.2
Agra,Uttar Pradesh,23.023917,90.149851,2365,1703.05,1,5.8,Yes,0.322,0.398,12.1
Nashik,Maharashtra,36.891194,89.094623,486,4016.28,3,4.2,No,0.77,0.15,22.2
Faridabad,Haryana,36.455793,84.582058,1680,4589.56,5,8.2,Yes,0.01,0.685,13.8
Meerut,Uttar Pradesh,23.56072,71.288959,2292,4894.48,2,0,No,0.187,0.255,31.3
Rajkot,Gujarat,32.01062,87.181807,702,1225.19,2,3.2,No,0.834,0.316,24.7
Kalyan,Maharashtra,9.001254,69.626812,727,2976.25,5,0.3,No,0.693,0.359,41.4
Vasai-Virar,Maharashtra,10.203225,87.876024,2310,2624.9,3,1.8,Yes,0.109,0.811,41.6
Varanasi,Uttar Pradesh,8.00388,68.20192,1922,1921.86,5,8.5,No,0.633,0.801,36.1
Srinagar,Jammu & Kashmir,33.135205,91.189864,185,2251.66,3,9.4,No,0.788,0.612,28.1
Aurangabad,Maharashtra,26.265911,70.498244,1754,4491.36,3,2.5,Yes,0.552,0.279,41.9
Dhanbad,Jharkhand,21.177627,81.681763,2914,3379.88,3,10,Yes,0.25,0.748,20
Mumbai,Maharashtra,14.324495,77.522898,365,602.71,4,7,Yes,0.258,0.2,11.2
Delhi,Delhi,21.908795,74.705278,2730,3171.06,3,3.5,No,0.858,0.805,36.4
Bangalore,Karnataka,8.557694,94.829643,1608,736.6,3,4.3,No,0.409,0.358,31.9
Hyderabad,Telangana,30.430719,77.98283,2836,1894.97,4,2.2,Yes,0.288,0.445,20.3
Ahmedabad,Gujarat,17.867158,68.130675,2776,3182.9,3,6.2,Yes,0.526,0.79,19.5
Chennai,Tamil Nadu,16.895203,92.052917,2050,4377.97,4,4.7,No,0.324,0.916,18.4
Kolkata,West Bengal,36.756103,82.842162,2063,1540.66,2,1.2,No,0.159,0.275,17.4
Pune,Maharashtra,16.00551,96.972317,1328,2206.77,2,3.2,No,0.086,0.96,39.3
Jaipur,Rajasthan,34.216602,84.022253,2899,1228.58,2,5.1,Yes,0.644,0.71,42.3
Surat,Gujarat,9.810907,70.664868,28,4135.72,2,6.7,No,0.212,0.962,39.6
Lucknow,Uttar Pradesh,36.994697,70.061179,2448,2149.17,5,6.1,Yes,0.293,0.479,29
Kanpur,Uttar Pradesh,17.44005,69.37859,2213,823.32,1,5.6,No,0.207,0.357,13
Nagpur,Maharashtra,28.188099,73.4458,2892,4257.16,1,9.8,No,0.021,0.273,10.9
Visakhapatnam,Andhra Pradesh,13.180247,79.231407,1235,1073.99,5,7.6,No,0.221,0.957,35.8
Bhopal,Madhya Pradesh,27.673123,76.001514,830,2068.55,1,1.2,Yes,0.836,0.625,41.9
Patna,Bihar,15.86424,77.249861,951,2434.75,3,9.2,No,0.876,0.452,13.9
Vadodara,Gujarat,8.163206,71.263321,333,2121.29,2,6.3,Yes,0.579,0.795,20.2
Ghaziabad,Uttar Pradesh,23.565263,77.178695,1819,3580.78,3,0.5,Yes,0.662,0.581,20.2
Ludhiana,Punjab,24.403448,89.937314,2801,3877.7,3,2.4,Yes,0.057,0.609,13.3
Agra,Uttar Pradesh,22.956273,88.641006,1902,1065.76,1,9.6,Yes,0.851,0.024,15.4
Nashik,Maharashtra,34.378349,73.7331,1298,2349.55,5,0.4,Yes,0.036,0.569,29.8
Faridabad,Haryana,12.419691,94.804,971,2357.92,3,9.6,Yes,0.328,0.446,21.9
Meerut,Uttar Pradesh,17.10728,93.648444,2963,3302.21,3,4.3,No,0.589,0.213,20.1
Rajkot,Gujarat,35.160901,71.264726,283,1621.24,5,6.6,No,0.873,0.394,19.9
Kalyan,Maharashtra,8.035824,96.319869,804,532.63,2,8.6,Yes,0.865,0.711,19
Vasai-Virar,Maharashtra,29.085774,74.655527,2906,3529.19,4,1.4,No,0.922,0.041,20.5
Varanasi,Uttar Pradesh,16.045819,84.332908,1065,3689.67,4,8.6,Yes,0.103,0.863,43.1
Srinagar,Jammu & Kashmir,16.067266,92.068109,2452,4951.98,2,5.6,Yes,0.053,0.265,13.8
Aurangabad,Maharashtra,17.415676,87.09487,516,4260.77,5,6.6,No,0.308,0.188,18
Dhanbad,Jharkhand,33.113688,80.657787,2918,2280.77,2,4.2,Yes,0.113,0.321,23.9
Mumbai,Maharashtra,10.765651,84.961939,155,1877.31,1,1.1,Yes,0.306,0.789,24.1
Delhi,Delhi,13.302439,70.460275,315,1080.98,4,3.7,Yes,0.376,0.632,19.4
Bangalore,Karnataka,35.347116,77.068924,1555,4123.13,1,3.7,Yes,0.135,0.688,14.2
Hyderabad,Telangana,21.59869,91.615432,2174,3599.71,4,7.5,Yes,0.341,0.194,15.4
Ahmedabad,Gujarat,29.150254,85.536982,2351,3938.32,2,1.3,No,0.65,0.746,28.3
Chennai,Tamil Nadu,13.548587,86.93678,1161,1624.08,3,0.4,No,0.272,0.17,21.9
Kolkata,West Bengal,23.833166,87.2172,245,1668.17,5,1.7,Yes,0.015,0.531,12.7
Pune,Maharashtra,30.07407,68.427361,468,4128.21,5,9.6,Yes,0.584,0.742,45
Jaipur,Rajasthan,26.45625,75.931896,2485,1061.24,1,8.4,Yes,0.905,0.826,40.7
Surat,Gujarat,29.241431,76.238335,1806,3531.21,4,9.2,No,0.376,0.085,26
Lucknow,Uttar Pradesh,8.027761,75.604433,17,815.31,2,8.7,Yes,0.825,0.235,31.4
Kanpur,Uttar Pradesh,10.061215,69.70335,2211,3316.4,5,5.7,Yes,0.675,0.07,41.7
Nagpur,Maharashtra,16.930286,93.251574,1555,1502.11,2,3.1,No,0.819,0.602,22.3
Visakhapatnam,Andhra Pradesh,35.434472,86.860298,1260,1807.85,4,7.6,No,0.894,0.066,13.8
Bhopal,Madhya Pradesh,35.172878,69.749574,2502,2813.15,2,9.8,No,0.544,0.712,15.4
Patna,Bihar,33.417632,88.712566,941,830.61,2,5.8,No,0.012,0.115,26.7
Vadodara,Gujarat,19.98927,87.454225,395,1886.52,2,0.6,No,0.048,0.062,44
Ghaziabad,Uttar Pradesh,8.855991,70.50167,542,4591.36,3,0.5,No,0.981,0.367,23.5
Ludhiana,Punjab,35.352435,85.599493,1215,899.28,1,6,Yes,0.506,0.476,18.9
Agra,Uttar Pradesh,14.121821,94.405854,2380,3167.85,4,2.4,Yes,0.451,0.476,33.3
Nashik,Maharashtra,16.483469,79.611616,1771,987.43,1,6.6,Yes,0.709,0.254,11.6
Faridabad,Haryana,15.283559,68.401976,1692,2002.95,1,1.1,No,0.332,0.224,22.8
Meerut,Uttar Pradesh,35.53056,69.833949,569,2048.92,1,8.2,Yes,0.264,0.545,34.2
Rajkot,Gujarat,27.284981,90.281365,1253,4853.21,3,7.7,No,0.759,0.506,16.1
Kalyan,Maharashtra,24.538582,95.317537,1388,2363.59,3,1.3,No,0.114,0.653,37.1
Vasai-Virar,Maharashtra,8.133077,75.863703,199,1375.71,3,1.3,Yes,0.169,0.488,39.6
Varanasi,Uttar Pradesh,9.888165,81.109762,2267,1838.92,2,4.1,Yes,0.277,0.198,18.2
Srinagar,Jammu & Kashmir,33.839823,90.476176,799,1112.31,2,0.3,No,0.772,0.199,39.8
Aurangabad,Maharashtra,23.005659,90.49523,1892,1485,1,0.5,Yes,0.696,0.533,43.6
Dhanbad,Jharkhand,19.423186,71.60301,2324,1292.9,4,7.2,No,0.021,0.025,30.9
Mumbai,Maharashtra,25.060864,92.096514,292,563.13,5,0.2,Yes,0.998,0.661,33.3
Delhi,Delhi,23.176702,69.059031,2968,4838.07,5,5.5,Yes,0.537,0.877,24.1
Bangalore,Karnataka,13.687731,72.493838,1187,1110.51,2,8.7,Yes,0.986,0.635,17.3
Hyderabad,Telangana,27.327098,91.426058,1948,2529.83,4,3.5,Yes,0.529,0.06,19.6
Ahmedabad,Gujarat,28.362984,92.644259,753,2408.86,1,1.6,Yes,0.457,0.344,13.7
Chennai,Tamil Nadu,27.805787,80.432878,2459,2822.03,2,2.4,Yes,0.686,0.336,19.8
Kolkata,West Bengal,24.722348,76.269467,2490,1116.07,1,3.9,Yes,0.45,0.604,12
Pune,Maharashtra,24.913607,81.752715,2202,2147.72,1,6.3,Yes,0.683,0.379,15.3
Jaipur,Rajasthan,27.111042,79.082273,938,2133.99,1,4.8,No,0.801,0.973,11.6
Surat,Gujarat,12.552602,75.254213,1101,1610.46,4,6.2,No,0.223,0.835,16.8
Lucknow,Uttar Pradesh,16.924656,76.536425,1344,2443.46,3,1.3,No,0.592,0.681,39.6
Kanpur,Uttar Pradesh,22.123747,91.089283,470,3714.96,5,1.2,Yes,0.987,0.867,42.5
Nagpur,Maharashtra,19.320235,81.698028,640,3428.05,2,2.5,No,0.277,0.218,42.5
Visakhapatnam,Andhra Pradesh,35.498475,89.184788,2416,822.66,3,0.1,No,0.667,0.363,41.5
Bhopal,Madhya Pradesh,32.624719,94.60848,1560,2873.68,2,0.2,Yes,0.799,0.6,21.4
Patna,Bihar,31.663242,89.934881,397,915.45,1,2.6,Yes,0.124,0.201,19.5
Vadodara,Gujarat,15.105412,84.668991,788,4383.55,4,8.7,Yes,0.252,0.269,41.3
Ghaziabad,Uttar Pradesh,9.522695,85.655165,2968,1216.84,2,10,No,0.055,0.388,11.9
Ludhiana,Punjab,9.076582,94.356351,1680,4189.58,2,4.9,No,0.579,0.678,16
Agra,Uttar Pradesh,33.373556,91.551082,2870,4658.97,1,5.1,No,0.094,0.354,14.1
Nashik,Maharashtra,34.425748,85.60531,481,3002.91,1,8,Yes,0.195,0.354,41.4
Faridabad,Haryana,17.203319,96.412035,808,1468.09,4,4,Yes,0.987,0.638,10.3
Meerut,Uttar Pradesh,14.053973,96.900131,517,1694.37,4,7.4,No,0.628,0.509,30.9
Rajkot,Gujarat,31.804877,84.912263,356,1816.15,1,4,No,0.117,0.146,33.7
Kalyan,Maharashtra,22.403097,79.460169,664,733.32,5,3.1,Yes,0.274,0.711,33
Vasai-Virar,Maharashtra,36.019724,85.423159,1131,2812.62,1,6.4,No,0.84,0.852,23.9
Varanasi,Uttar Pradesh,20.157265,75.090279,1832,3982.97,5,0.7,No,0.163,0.359,18.1
Srinagar,Jammu & Kashmir,21.825744,73.028836,595,3522.56,3,4.9,No,0.196,0.204,32.6
Aurangabad,Maharashtra,25.29087,96.651864,374,4738.68,1,9.9,Yes,0.194,0.895,39.1
Dhanbad,Jharkhand,23.670462,95.504264,527,3907.64,1,9.7,No,0.242,0.724,26.8
Mumbai,Maharashtra,21.694982,69.988767,362,4598.73,5,8.2,No,0.22,0.635,34.7
Delhi,Delhi,30.626059,88.622534,1155,4066.94,5,7.7,Yes,0.847,0.81,14.8
Bangalore,Karnataka,12.055935,93.101578,1649,4075.76,3,2.9,Yes,0.017,0.077,38.9
Hyderabad,Telangana,17.247779,91.944737,1528,567.88,2,1.1,No,0.672,0.313,35
Ahmedabad,Gujarat,32.591122,73.040277,1113,4913.21,1,3.7,Yes,0.837,0.694,17.9
Chennai,Tamil Nadu,9.403149,92.306167,1228,3809.41,4,6.5,Yes,0.996,0.189,41.1
Kolkata,West Bengal,21.397732,81.01227,2928,4247.56,5,9.9,Yes,0.906,0.316,18.7
Pune,Maharashtra,31.430214,86.517176,2789,4352.25,3,8,No,0.937,0.816,25.7
Jaipur,Rajasthan,24.461293,87.468433,232,4916.74,3,1.1,Yes,0.166,0.076,27.8
Surat,Gujarat,24.694035,77.520759,743,2156.76,2,2.8,Yes,0.015,0.418,32.6
Lucknow,Uttar Pradesh,33.812813,92.468277,2682,4340.09,1,2.1,No,0.423,0.937,33.5
Kanpur,Uttar Pradesh,34.683947,72.107907,2285,1240.76,3,6.9,No,0.016,0.482,30.7
Nagpur,Maharashtra,26.0049,80.007997,66,4160.45,1,9.7,Yes,0.607,0.791,27.9
Visakhapatnam,Andhra Pradesh,20.159639,75.855899,1431,3790.31,2,5.4,No,0.507,0.101,27.7
Bhopal,Madhya Pradesh,26.159476,91.715242,2264,4142.03,2,8.1,No,0.223,0.31,13.2
Patna,Bihar,33.420609,82.024612,2252,4106.93,2,5.4,Yes,0.328,0.199,27.4
Vadodara,Gujarat,18.203123,96.161215,1573,2572.62,4,6.4,Yes,0.536,0.271,37.2
Ghaziabad,Uttar Pradesh,13.48811,88.434766,2454,1370.65,2,9.1,Yes,0.124,0.055,11.2
Ludhiana,Punjab,29.861253,81.2193,1150,3449.66,4,1.4,Yes,0.22,0.011,17.9
Agra,Uttar Pradesh,33.316778,82.360133,2802,4285.34,5,9.8,Yes,0.155,0.862,44
Nashik,Maharashtra,22.054457,72.592419,1084,1598.19,3,4.3,Yes,0.635,0.731,24.4
Faridabad,Haryana,28.668332,92.733482,918,1738.7,1,0.5,Yes,0.49,0.572,15.9
Meerut,Uttar Pradesh,13.797228,82.746623,2171,2103.67,5,6.1,Yes,0.782,0.84,16
Rajkot,Gujarat,18.196953,77.128707,2137,4077.85,1,7.5,No,0.445,0.681,44
Kalyan,Maharashtra,29.434085,77.63349,2049,1521.79,1,7.8,Yes,0.032,0.526,33
Vasai-Virar,Maharashtra,31.403728,92.789444,106,2001.87,3,1.7,No,0.775,0.316,17.6
Varanasi,Uttar Pradesh,26.021954,70.697788,694,1702.15,3,2.8,Yes,0.402,0.875,40.8
Srinagar,Jammu & Kashmir,10.882396,71.562995,2975,3448.14,1,9.9,Yes,0.747,0.717,32.5
Aurangabad,Maharashtra,22.062329,74.374811,749,3285.29,2,5.9,Yes,0.098,0.588,23.7
Dhanbad,Jharkhand,16.116818,75.117323,16,3739.29,5,9.4,Yes,0.795,0.948,27.2
Mumbai,Maharashtra,28.58236,88.992944,2241,3839.49,2,5.3,Yes,0.421,0.495,39.6
Delhi,Delhi,36.774786,94.751373,2547,3356.68,5,2.8,Yes,0.665,0.655,15.3
Bangalore,Karnataka,28.751061,88.821605,1360,2581.29,3,9.4,No,0.071,0.767,20.6
Hyderabad,Telangana,28.903074,81.765531,1401,4689.75,3,2.1,Yes,0.499,0.038,34.5
Ahmedabad,Gujarat,9.819131,78.357313,1950,4377.56,1,4.5,Yes,0.694,0.946,10.9
Chennai,Tamil Nadu,8.88947,78.129641,1754,3868.68,2,1,Yes,0.898,0.341,11.2
Kolkata,West Bengal,25.913208,91.728202,2970,4850.31,4,4.3,Yes,0.858,0.225,36.2
Pune,Maharashtra,10.643883,83.102924,1108,1207.46,5,0.5,No,0.741,0.98,17.5
Jaipur,Rajasthan,23.681451,69.211762,2488,2235.39,4,1.2,No,0.915,0.455,39.6
Surat,Gujarat,18.563094,68.832575,1563,3148.45,3,6.8,No,0.71,0.726,38.2
Lucknow,Uttar Pradesh,34.177268,80.422426,1374,2696.88,2,2.5,Yes,0.435,0.202,41.9
Kanpur,Uttar Pradesh,29.69049,94.408609,44,1454.57,2,7.7,No,0.214,0.715,40.8
Nagpur,Maharashtra,32.558008,86.472089,102,704.55,1,0.3,No,0.841,0.44,27.1
Visakhapatnam,Andhra Pradesh,23.788113,74.568992,937,901.46,2,7.4,Yes,0.515,0.673,31.8
Bhopal,Madhya Pradesh,28.562785,72.999834,311,1502.38,1,5.1,Yes,0.932,0.039,32.7
Patna,Bihar,36.464403,84.244189,1052,3755.12,5,1.6,Yes,0.412,0.073,11.2
